"Avg(CNY/mt,VAT included)","Avg With Rate(USD/mt,VAT included)"
84000.0,11761.41
84000.0,11728.57
84000.0,11712.21
85000.0,11832.51
85500.0,11923.02
85500.0,11915.55
86500.0,12029.59
87500.0,12187.48
87500.0,12186.63
87500.0,12179.67
88500.0,12292.35
88500.0,12268.49
88500.0,12266.79
89500.0,12407.12
90500.0,12549.23
90500.0,12586.75
90500.0,12583.25
90500.0,12607.09
90500.0,12575.38
90500.0,12571.02
90500.0,12579.75
92000.0,12781.15
92000.0,12784.7
92000.0,12781.15
92000.0,12752.8
92000.0,12752.8
92000.0,12766.08
92000.0,12748.39
92500.0,12824.78
92500.0,12820.34
92500.0,12852.4
92500.0,12825.67
92500.0,12822.11
92500.0,12819.45
92500.0,12820.51
92500.0,12818.56
92500.0,12823.0
92500.0,12820.51
92500.0,12820.34
92500.0,12820.16
92500.0,12818.56
92500.0,12819.45
92500.0,12829.23
92500.0,12833.68
92500.0,12858.65
92500.0,12839.91
92000.0,12760.76
92000.0,12751.92
92000.0,12753.86
92000.0,12751.21
92000.0,12749.09
92000.0,12749.27
92000.0,12700.69
92000.0,12739.56
92000.0,12714.73
92000.0,12699.82
92000.0,12699.82
92000.0,12698.24
92000.0,12700.69
92000.0,12681.43
92000.0,12681.43
92000.0,12691.06
92000.0,12687.56
92000.0,12694.03
92000.0,12681.43
92000.0,12681.43
92000.0,12680.21
93000.0,12819.28
93000.0,12815.74
94000.0,12959.44
94000.0,12948.91
96000.0,13223.69
96000.0,13220.96
98000.0,13494.53
98000.0,13488.03
100000.0,13765.19
101000.0,13898.64
101000.0,13904.76
102000.0,14104.57
102000.0,14101.64
103000.0,14223.18
104000.0,14356.31
104000.0,14362.26
107000.0,14758.21
109000.0,15027.85
109000.0,15027.85
114000.0,15771.78
114000.0,15741.07
116000.0,16008.39
116000.0,15990.74
120000.0,16537.58
120000.0,16527.33
125000.0,17208.86
128000.0,17620.66
128000.0,17620.66
133000.0,18310.23
133000.0,18300.15
133000.0,18332.94
138000.0,19005.12
141000.0,19419.62
141000.0,19422.29
143000.0,19677.45
146000.0,20099.95
146000.0,20079.22
146000.0,20073.7
151000.0,20781.15
151000.0,20762.58
154000.0,21177.12
156000.0,21445.66
158000.0,21725.08
158000.0,21717.62
158000.0,21702.4
