unit,nominal
1,70.3002
1,69.6094
1,69.0202
1,67.7775
1,67.5744
1,68.2892
1,68.6644
1,68.8728
1,68.8467
1,68.6656
1,68.6288
1,68.7529
1,68.9573
1,69.1263
1,69.3372
1,69.5927
1,70.5174
1,70.1217
1,70.0414
1,70.3847
1,70.5991
1,70.8924
1,71.5763
1,72.8949
1,72.7923
1,73.6307
1,73.8645
1,74.2077
1,74.7638
1,74.7588
1,74.0432
1,74.8596
1,74.7087
1,75.4323
1,74.8932
1,75.2513
1,75.4729
1,75.4592
1,75.4728
1,75.4577
1,75.9028
1,75.9406
1,75.4609
1,75.1927
1,75.7457
1,76.4095
1,76.6044
1,77.2422
1,76.8373
1,76.9561
1,76.3072
1,76.4479
1,76.5662
1,76.5939
1,76.9781
1,77.0863
1,77.3233
1,77.951
1,79.3563
1,79.4961
1,80.6713
1,82.3988
1,81.7441
1,82.1799
1,82.0934
1,81.6758
1,81.5045
1,81.6279
1,81.6028
1,81.6549
1,81.6188
1,81.4863
1,81.2745
1,81.5499
1,81.6274
1,81.5601
1,80.5093
1,79.9609
1,79.3071
1,78.6139
1,76.8207
1,76.6929
1,75.8846
1,77.2041
1,79.1004
1,79.9798
1,80.7642
1,80.0366
1,79.9093
1,79.9379
1,80.1665
1,79.9669
1,79.9841
1,79.9667
1,80.0555
1,80.6872
1,80.9942
1,80.9657
1,80.8756
1,81.3294
1,81.2502
1,81.4581
1,82.093
1,82.6417
1,83.6405
1,84.3249
1,83.9611
1,83.6498
1,83.9866
1,84.2336
1,84.2467
1,83.6077
1,84.0793
1,84.6642
1,85.0504
1,85.6192
1,87.0341
1,88.3844
1,89.3255
1,89.545
1,90.338
1,92.5695
1,91.6879
1,91.4931
1,90.5045
1,90.6253
1,90.1757
1,90.119
1,90.4217
1,90.6906
1,91.2046
1,90.8545
1,90.3846
1,90.489
1,90.0945
1,90.0468
1,90.0225
1,90.9783
1,91.5923
1,91.7755
1,92.841
1,93.7792
1,94.8076
1,96.5668
1,96.0755
1,97.3999
1,97.2794
1,98.2066
1,101.0399
1,97.4217
1,96.7045
1,93.746
1,93.4047
1,94.1424
1,94.1185
1,94.4421
1,94.4007
1,94.7117
1,95.4717
1,95.707
1,95.9283
1,96.3344
1,96.3411
1,96.6199
1,97.5383
1,97.8439
1,98.1961
1,97.9241
1,96.5083
1,94.7035
1,95.9794
1,96.1609
1,96.6338
1,96.6472
1,96.2236
1,96.6172
1,96.0762
1,96.0419
1,96.1456
1,96.2378
1,96.5
1,97.0018
1,97.4147
1,98.4785
1,99.2677
1,99.4555
1,99.6762
1,100.4911
1,101.3598
1,99.9349
1,99.9808
1,96.9948
1,97.3075
1,97.2865
1,97.3458
1,97.3724
1,97.3074
1,95.9053
1,94.7081
1,93.5224
1,93.1507
1,93.5616
1,93.2174
1,93.2435
1,92.0226
1,93.2801
1,93.173
1,93.0351
1,92.4151
1,92.1973
1,91.9266
1,92.0535
1,92.1185
1,91.257
1,89.4565
1,88.9466
1,89.1237
1,88.4954
1,87.8701
1,88.1648
1,88.1206
1,88.8133
1,88.7045
1,88.6102
1,88.8841
1,88.5819
1,89.7619
1,90.6728
1,91.5823
1,92.7826
1,92.5654
1,91.6402
1,90.9846
1,90.2158
1,89.8926
1,89.6741
1,89.6966
1,90.4162
1,90.087
1,90.4056
1,91.7062
1,91.9389
1,91.969
1,91.7069
1,91.7051
1,90.3041
1,89.6883
1,90.404
1,89.3939
1,88.7818
1,88.1324
1,87.6772
1,87.6457
1,88.354
1,88.661
1,88.5896
1,87.9724
1,87.9199
1,88.2829
1,88.6562
1,89.5159
1,89.609
1,89.2887
1,89.6678
1,90.2299
1,90.6626
1,91.2434
1,90.6842
1,91.1514
1,91.2561
1,90.8901
1,91.0758
1,91.2057
1,91.4316
1,91.8237
1,92.5492
1,92.4102
1,92.349
1,92.4387
1,92.7519
1,92.6321
1,92.0425
1,91.8692
1,90.8423
1,91.3336
1,91.3534
1,91.1604
1,90.3412
1,90.7493
1,90.6252
1,90.8818
1,91.5449
1,91.6359
1,91.87
1,91.9829
1,92.2243
1,92.6861
1,91.9499
1,92.6118
1,92.7761
1,92.5745
1,92.5919
1,92.2628
1,92.366
1,92.2914
1,92.5254
1,92.3892
1,92.3058
1,92.4155
1,92.581
1,92.7463
1,93.2198
1,93.7196
1,93.4419
1,93.5891
1,94.0742
1,94.3242
1,94.0922
1,93.4409
1,93.2519
1,93.2918
1,92.5058
1,92.1314
1,92.0134
1,91.7791
1,92.0538
1,91.6918
1,91.3124
1,91.1231
1,91.8239
1,91.633
1,91.3591
1,91.2573
1,90.9239
1,90.9873
1,90.6537
1,90.4082
1,90.1887
1,90.2486
1,89.7026
1,88.6852
1,88.4375
1,89.2589
1,89.7869
1,90.1915
1,89.3755
1,88.7574
1,88.7436
1,88.7604
1,88.7606
1,88.9944
1,89.0214
1,88.208
1,89.0658
1,89.0499
1,87.0354
1,82.6282
1,85.4176
1,87.9595
1,87.373
1,87.277
1,87.8064
1,84.964
1,85.748
1,87.2972
1,87.9921
1,87.9506
1,88.1205
1,88.1348
1,88.1688
1,88.0031
1,87.8551
1,87.988
1,87.7427
1,87.8077
1,88.2824
1,88.0872
1,87.8754
1,88.0206
1,87.7805
1,87.299
1,86.5502
1,85.41
1,85.565
1,86.5554
1,86.33
1,86.1091
1,85.7833
1,85.7024
1,84.9471
1,85.1646
1,85.9543
1,86.5621
1,87.992
1,89.9475
1,92.6592
1,90.0055
1,88.796
1,88.9062
1,89.5428
1,90.6944
1,91.6862
1,91.2881
1,91.6012
1,91.7745
1,91.4807
1,91.4449
1,91.4548
1,91.1868
1,90.0013
1,88.6118
