Gold,Silver,Platinum,Palladium
0.0,2.173,0.0,0.0
0.0,2.225,0.0,0.0
0.0,2.171,0.0,0.0
0.0,2.157,0.0,0.0
0.0,2.163,0.0,0.0
0.0,2.109,0.0,0.0
0.0,2.085,0.0,0.0
0.0,2.094,0.0,0.0
0.0,2.127,0.0,0.0
0.0,2.114,0.0,0.0
0.0,2.069,0.0,0.0
0.0,2.067,0.0,0.0
0.0,2.058,0.0,0.0
0.0,2.078,0.0,0.0
0.0,2.088,0.0,0.0
0.0,2.08,0.0,0.0
0.0,2.064,0.0,0.0
0.0,2.018,0.0,0.0
0.0,2.069,0.0,0.0
0.0,2.039,0.0,0.0
0.0,2.019,0.0,0.0
0.0,1.96,0.0,0.0
0.0,1.995,0.0,0.0
0.0,2.02,0.0,0.0
0.0,2.0,0.0,0.0
0.0,1.948,0.0,0.0
0.0,1.965,0.0,0.0
0.0,1.979,0.0,0.0
0.0,1.938,0.0,0.0
0.0,1.929,0.0,0.0
0.0,1.923,0.0,0.0
0.0,1.919,0.0,0.0
0.0,1.939,0.0,0.0
0.0,1.999,0.0,0.0
0.0,1.969,0.0,0.0
0.0,1.98,0.0,0.0
0.0,2.03,0.0,0.0
0.0,2.029,0.0,0.0
0.0,2.017,0.0,0.0
0.0,2.065,0.0,0.0
0.0,2.105,0.0,0.0
0.0,2.105,0.0,0.0
0.0,2.084,0.0,0.0
0.0,2.2,0.0,0.0
0.0,2.19,0.0,0.0
0.0,2.188,0.0,0.0
0.0,2.134,0.0,0.0
0.0,2.189,0.0,0.0
0.0,2.228,0.0,0.0
0.0,2.197,0.0,0.0
0.0,2.222,0.0,0.0
0.0,2.37,0.0,0.0
0.0,2.49,0.0,0.0
0.0,2.119,0.0,0.0
0.0,2.404,0.0,0.0
0.0,2.237,0.0,0.0
0.0,2.303,0.0,0.0
0.0,2.218,0.0,0.0
0.0,2.241,0.0,0.0
0.0,2.243,0.0,0.0
0.0,2.302,0.0,0.0
0.0,2.249,0.0,0.0
0.0,2.278,0.0,0.0
37.7,2.259,0.0,0.0
37.3,2.202,0.0,0.0
37.6,2.195,0.0,0.0
36.95,2.125,0.0,0.0
37.0,2.104,0.0,0.0
37.05,2.134,0.0,0.0
37.5,2.205,0.0,0.0
37.7,2.203,0.0,0.0
38.0,2.161,0.0,0.0
38.0,2.253,0.0,0.0
37.8,2.303,0.0,0.0
37.55,2.232,0.0,0.0
37.65,2.281,0.0,0.0
38.0,2.36,0.0,0.0
38.4,2.36,0.0,0.0
38.25,2.299,0.0,0.0
38.3,2.308,0.0,0.0
38.65,2.327,0.0,0.0
38.75,2.396,0.0,0.0
39.1,2.397,0.0,0.0
39.2,2.357,0.0,0.0
39.45,2.297,0.0,0.0
39.1,2.315,0.0,0.0
39.75,2.335,0.0,0.0
39.3,2.245,0.0,0.0
39.75,2.321,0.0,0.0
39.7,2.319,0.0,0.0
39.6,2.361,0.0,0.0
39.5,2.359,0.0,0.0
39.8,2.379,0.0,0.0
40.25,2.401,0.0,0.0
41.25,2.459,0.0,0.0
41.5,2.505,0.0,0.0
42.3,2.506,0.0,0.0
42.4,2.554,0.0,0.0
41.55,2.467,0.0,0.0
41.4,2.48,0.0,0.0
41.75,2.503,0.0,0.0
41.5,2.515,0.0,0.0
41.5,2.49,0.0,0.0
41.6,2.416,0.0,0.0
41.95,2.477,0.0,0.0
41.95,2.483,0.0,0.0
41.15,2.426,0.0,0.0
41.2,2.421,0.0,0.0
41.2,2.454,0.0,0.0
41.25,2.478,0.0,0.0
41.3,2.446,0.0,0.0
41.55,2.506,0.0,0.0
41.9,2.576,0.0,0.0
41.3,2.52,0.0,0.0
41.0,2.465,0.0,0.0
40.7,2.432,0.0,0.0
41.1,2.431,0.0,0.0
41.4,2.534,0.0,0.0
41.1,2.468,0.0,0.0
41.05,2.449,0.0,0.0
40.9,2.483,0.0,0.0
40.95,2.512,0.0,0.0
40.85,2.493,0.0,0.0
40.9,2.492,0.0,0.0
40.9,2.502,0.0,0.0
40.8,2.512,0.0,0.0
40.9,2.463,0.0,0.0
41.05,2.489,0.0,0.0
41.15,2.487,0.0,0.0
41.0,2.472,0.0,0.0
40.85,2.436,0.0,0.0
39.8,2.319,0.0,0.0
40.1,2.418,0.0,0.0
39.1,2.369,0.0,0.0
39.3,2.35,0.0,0.0
39.2,2.392,0.0,0.0
38.5,2.351,0.0,0.0
37.75,2.303,0.0,0.0
38.0,2.242,0.0,0.0
38.7,2.331,0.0,0.0
38.6,2.292,0.0,0.0
39.0,2.292,0.0,0.0
39.2,2.328,0.0,0.0
38.9,2.283,0.0,0.0
38.9,2.284,0.0,0.0
39.1,2.276,0.0,0.0
39.0,2.235,0.0,0.0
38.85,2.285,0.0,0.0
38.9,2.225,0.0,0.0
38.85,2.245,0.0,0.0
38.95,2.195,0.0,0.0
38.7,2.185,0.0,0.0
38.7,2.205,0.0,0.0
38.45,2.165,0.0,0.0
38.55,2.154,0.0,0.0
38.6,2.125,0.0,0.0
38.9,2.064,0.0,0.0
38.95,2.193,0.0,0.0
39.15,2.208,0.0,0.0
39.15,2.203,0.0,0.0
39.15,2.178,0.0,0.0
39.55,2.243,0.0,0.0
40.0,2.332,0.0,0.0
39.75,2.24,0.0,0.0
39.5,2.274,0.0,0.0
39.5,2.239,0.0,0.0
39.65,2.239,0.0,0.0
39.6,2.218,0.0,0.0
39.85,2.242,0.0,0.0
39.8,2.239,0.0,0.0
39.95,2.24,0.0,0.0
39.9,2.255,0.0,0.0
40.1,2.274,0.0,0.0
39.9,2.264,0.0,0.0
40.05,2.243,0.0,0.0
40.03,2.168,0.0,0.0
40.1,2.248,0.0,0.0
40.1,2.198,0.0,0.0
40.15,2.227,0.0,0.0
40.3,2.207,0.0,0.0
40.3,2.228,0.0,0.0
40.5,2.245,0.0,0.0
40.45,2.23,0.0,0.0
40.4,2.24,0.0,0.0
40.4,2.231,0.0,0.0
40.45,2.22,0.0,0.0
40.45,2.221,0.0,0.0
40.45,2.19,0.0,0.0
40.13,2.2,0.0,0.0
39.6,2.171,0.0,0.0
39.45,2.14,0.0,0.0
38.9,2.091,0.0,0.0
39.18,2.101,0.0,0.0
39.05,2.085,0.0,0.0
39.78,2.101,0.0,0.0
39.6,2.086,0.0,0.0
38.9,2.051,0.0,0.0
