date,aluminium,copper,lead,nickel,zink,tin
2022-01-04,2815.5,9660.0,2327.0,20730.0,3602.0,39400.0
2022-01-05,2866.0,9778.0,2343.0,20900.0,3660.0,39700.0
2022-01-06,2912.5,9565.0,2291.0,20480.0,3590.0,39650.0
2022-01-07,2919.5,9615.0,2342.0,20725.0,3602.5,40650.0
2022-01-10,2923.0,9665.0,2303.0,21045.0,3576.5,40425.0
2022-01-11,2950.0,9662.0,2305.0,21680.0,3540.0,40700.0
2022-01-12,3003.0,9945.0,2344.5,22200.0,3582.0,41750.0
2022-01-13,2960.0,9972.0,2367.0,22130.0,3575.0,41850.0
2022-01-14,2977.5,9900.0,2383.0,22850.0,3560.0,40850.0
2022-01-17,3009.0,9674.5,2358.0,22475.0,3535.0,41500.0
2022-01-18,3006.0,9707.0,2357.0,22740.0,3544.0,42500.0
2022-01-19,3036.0,9801.0,2352.0,22795.0,3602.0,43050.0
2022-01-20,3109.5,9925.0,2370.0,23900.0,3674.0,44195.0
2022-01-21,3079.5,9970.0,2393.5,24000.0,3686.0,43900.0
2022-01-24,3044.5,9800.0,2372.0,23500.0,3642.0,43375.0
2022-01-25,3064.0,9744.0,2359.0,22535.0,3615.0,41700.0
2022-01-26,3093.0,9965.0,2366.0,23425.0,3645.0,42800.0
2022-01-27,3107.0,9872.0,2330.0,22860.0,3649.0,43145.0
2022-01-28,3110.0,9678.0,2302.0,22750.0,3644.0,42450.0
2022-01-31,3076.0,9620.0,2289.0,22800.0,3675.0,42550.0
2022-02-01,3072.0,9701.0,2250.0,23300.0,3635.0,43600.0
2022-02-02,3043.0,9880.0,2247.0,23400.0,3650.0,43750.0
2022-02-03,3058.5,9785.0,2229.0,23225.0,3618.0,43560.0
2022-02-04,3087.0,9875.0,2225.0,23475.0,3635.0,43375.0
2022-02-07,3148.0,9850.0,2199.0,23650.0,3623.0,43250.0
2022-02-08,3245.0,9760.0,2204.0,23530.0,3653.0,43375.0
2022-02-09,3248.0,9881.0,2234.0,23550.0,3633.5,43400.0
2022-02-10,3313.0,10220.5,2300.0,24055.0,3738.0,44445.0
2022-02-11,3200.0,10040.0,2289.0,23705.0,3673.0,44195.0
2022-02-14,3306.0,9882.0,2300.0,23650.0,3631.0,44000.0
2022-02-15,3223.0,10020.0,2310.0,23950.0,3613.0,43575.0
2022-02-16,3282.0,10045.5,2340.0,23905.0,3634.0,43785.0
2022-02-17,3294.0,10010.0,2351.0,24150.0,3621.0,43750.0
2022-02-18,3314.0,10015.0,2363.0,24500.0,3668.5,44150.0
2022-02-21,3315.0,9960.0,2343.5,24870.0,3600.0,44150.0
2022-02-22,3420.0,10020.0,2335.0,25650.0,3628.0,44700.0
2022-02-23,3323.5,10005.0,2347.5,24950.0,3615.5,44750.0
2022-02-24,3519.0,9983.0,2370.0,26105.0,3670.0,45795.0
