Числовое значение,ДОЛЛАР США
1,431.8
1,433.5
1,495.0
1,466.31
1,446.38
1,414.67
1,470.34
1,477.09
1,472.21
1,476.71
1,468.35
1,468.9
1,431.8
1,433.76
1,487.75
1,472.56
1,446.38
1,424.62
1,466.44
1,479.51
1,471.43
1,476.71
1,466.22
1,468.45
1,431.8
1,434.11
1,490.43
1,472.56
1,446.38
1,432.78
1,466.44
1,475.79
1,472.47
1,476.71
1,460.56
1,468.98
1,431.8
1,434.29
1,492.28
1,472.56
1,441.64
1,431.95
1,466.44
1,476.27
1,472.47
1,475.51
1,463.6
1,468.98
1,431.8
1,432.93
1,499.2
1,472.76
1,436.85
1,431.95
1,464.16
1,476.18
1,472.47
1,472.68
1,464.45
1,468.98
1,431.81
1,432.93
1,503.3
1,462.91
1,427.8
1,431.95
1,469.26
1,477.98
1,472.63
1,470.06
1,464.45
1,469.17
1,431.81
1,432.93
1,503.3
1,462.22
1,434.47
1,431.88
1,469.26
1,477.98
1,472.47
1,468.75
1,464.45
1,472.33
1,431.81
1,431.37
1,503.3
1,458.87
1,434.47
1,429.41
1,477.24
1,477.98
1,473.1
1,472.04
1,464.4
1,473.54
1,431.81
1,428.5
1,503.3
1,446.89
1,434.47
1,433.45
1,474.92
1,476.62
1,477.46
1,472.04
1,464.01
1,472.17
1,431.81
1,426.31
1,510.0
1,446.89
1,434.47
1,434.51
1,474.92
1,478.39
1,473.35
1,472.04
1,465.58
1,472.14
1,431.81
1,425.76
1,509.8
1,446.89
1,434.47
1,435.76
1,474.92
1,478.01
1,473.35
1,473.38
1,469.42
1,472.14
1,431.81
1,429.1
1,510.79
1,449.53
1,442.61
1,435.76
1,464.85
1,477.67
1,473.35
1,474.95
1,462.01
1,472.14
1,462.65
1,460.51
1,445.82
1,451.71
1,453.39
1,448.13
1,452.51
1,459.69
1,474.47
1,469.67
1,458.04
1,462.65
1,460.87
1,442.11
1,451.71
1,453.39
1,448.72
1,449.33
1,456.39
1,474.47
1,470.09
1,460.15
1,462.65
1,459.92
1,435.69
1,451.71
1,449.15
1,447.9
1,449.33
1,456.39
1,478.35
1,468.13
1,460.15
1,462.65
1,458.69
1,431.08
1,450.83
1,442.52
1,447.9
1,448.13
1,456.39
1,477.25
1,465.14
1,460.15
1,465.39
1,458.69
1,431.08
1,449.39
1,445.29
1,447.9
1,446.79
1,459.52
1,476.59
1,465.14
1,461.33
1,465.93
1,458.69
1,431.08
1,446.79
1,445.28
1,448.71
1,443.84
1,459.97
1,477.44
1,465.14
1,461.05
1,463.31
1,457.7
1,432.83
1,447.31
1,445.28
1,447.71
1,443.84
1,461.41
1,478.43
1,462.46
1,459.46
1,463.31
1,456.98
1,438.57
1,445.01
1,445.28
1,446.65
1,443.84
1,464.48
1,478.43
1,464.49
1,459.91
1,463.31
1,455.65
1,438.57
1,445.01
1,445.28
1,444.85
1,443.84
1,466.29
1,478.43
1,466.79
1,457.61
1,462.49
1,452.39
1,441.12
1,445.01
1,445.28
1,445.62
1,443.84
1,466.29
1,477.02
1,468.05
1,457.61
1,461.84
1,450.79
1,445.98
1,444.29
1,444.16
1,445.62
1,444.89
1,466.29
1,477.21
1,467.9
1,457.61
1,462.2
1,450.79
1,445.98
1,448.82
1,444.22
1,445.62
1,441.11
1,462.88
1,476.78
1,467.9
1,458.49
1,454.56
1,447.74
1,450.61
1,446.78
1,442.05
1,447.25
1,471.46
1,473.95
1,481.63
1,481.19
1,488.26
