price,unit
48605,Yuan/MT
48990,Yuan/MT
49060,Yuan/MT
48950,Yuan/MT
48930,Yuan/MT
48425,Yuan/MT
48235,Yuan/MT
47995,Yuan/MT
44940,Yuan/MT
45230,Yuan/MT
45795,Yuan/MT
45590,Yuan/MT
45370,Yuan/MT
45385,Yuan/MT
45490,Yuan/MT
45655,Yuan/MT
45955,Yuan/MT
45990,Yuan/MT
46010,Yuan/MT
45910,Yuan/MT
45360,Yuan/MT
45190,Yuan/MT
44630,Yuan/MT
45345,Yuan/MT
45005,Yuan/MT
45055,Yuan/MT
44725,Yuan/MT
44280,Yuan/MT
43185,Yuan/MT
42755,Yuan/MT
42145,Yuan/MT
41400,Yuan/MT
37545,Yuan/MT
38290,Yuan/MT
37890,Yuan/MT
38750,Yuan/MT
38970,Yuan/MT
38865,Yuan/MT
40840,Yuan/MT
40765,Yuan/MT
40950,Yuan/MT
40990,Yuan/MT
41970,Yuan/MT
41860,Yuan/MT
41775,Yuan/MT
42470,Yuan/MT
42060,Yuan/MT
40995,Yuan/MT
41980,Yuan/MT
42120,Yuan/MT
42480,Yuan/MT
42810,Yuan/MT
43030,Yuan/MT
43030,Yuan/MT
43600,Yuan/MT
43080,Yuan/MT
43150,Yuan/MT
43325,Yuan/MT
43995,Yuan/MT
44040,Yuan/MT
44620,Yuan/MT
43770,Yuan/MT
44030,Yuan/MT
44170,Yuan/MT
44030,Yuan/MT
44135,Yuan/MT
44895,Yuan/MT
45110,Yuan/MT
44850,Yuan/MT
44990,Yuan/MT
46355,Yuan/MT
46855,Yuan/MT
47425,Yuan/MT
46760,Yuan/MT
47080,Yuan/MT
46910,Yuan/MT
47110,Yuan/MT
47475,Yuan/MT
47880,Yuan/MT
48160,Yuan/MT
48930,Yuan/MT
49450,Yuan/MT
49460,Yuan/MT
49260,Yuan/MT
49610,Yuan/MT
49845,Yuan/MT
50575,Yuan/MT
50600,Yuan/MT
52150,Yuan/MT
52435,Yuan/MT
51240,Yuan/MT
51685,Yuan/MT
51935,Yuan/MT
52600,Yuan/MT
51875,Yuan/MT
51930,Yuan/MT
51850,Yuan/MT
51830,Yuan/MT
51890,Yuan/MT
51850,Yuan/MT
51675,Yuan/MT
51370,Yuan/MT
51385,Yuan/MT
51440,Yuan/MT
50790,Yuan/MT
49980,Yuan/MT
50530,Yuan/MT
50040,Yuan/MT
51135,Yuan/MT
52300,Yuan/MT
52200,Yuan/MT
52065,Yuan/MT
51370,Yuan/MT
51380,Yuan/MT
51420,Yuan/MT
51800,Yuan/MT
52390,Yuan/MT
51935,Yuan/MT
52140,Yuan/MT
51495,Yuan/MT
52520,Yuan/MT
52065,Yuan/MT
52130,Yuan/MT
51535,Yuan/MT
52150,Yuan/MT
51900,Yuan/MT
51455,Yuan/MT
52210,Yuan/MT
51920,Yuan/MT
51620,Yuan/MT
50745,Yuan/MT
50890,Yuan/MT
51110,Yuan/MT
51185,Yuan/MT
51565,Yuan/MT
51540,Yuan/MT
51470,Yuan/MT
51370,Yuan/MT
51800,Yuan/MT
51450,Yuan/MT
52250,Yuan/MT
52370,Yuan/MT
52210,Yuan/MT
51540,Yuan/MT
51730,Yuan/MT
51585,Yuan/MT
51530,Yuan/MT
51750,Yuan/MT
51680,Yuan/MT
51640,Yuan/MT
52120,Yuan/MT
51990,Yuan/MT
51880,Yuan/MT
52025,Yuan/MT
53220,Yuan/MT
52740,Yuan/MT
52820,Yuan/MT
53220,Yuan/MT
54110,Yuan/MT
54890,Yuan/MT
55120,Yuan/MT
55685,Yuan/MT
57375,Yuan/MT
57280,Yuan/MT
57300,Yuan/MT
57290,Yuan/MT
57000,Yuan/MT
57270,Yuan/MT
57010,Yuan/MT
58285,Yuan/MT
57420,Yuan/MT
57850,Yuan/MT
58120,Yuan/MT
59090,Yuan/MT
58550,Yuan/MT
57610,Yuan/MT
58110,Yuan/MT
58180,Yuan/MT
58450,Yuan/MT
58150,Yuan/MT
57810,Yuan/MT
58225,Yuan/MT
58840,Yuan/MT
58675,Yuan/MT
59560,Yuan/MT
59030,Yuan/MT
59025,Yuan/MT
59280,Yuan/MT
58920,Yuan/MT
58820,Yuan/MT
58745,Yuan/MT
57950,Yuan/MT
58180,Yuan/MT
57700,Yuan/MT
57170,Yuan/MT
57825,Yuan/MT
58040,Yuan/MT
59410,Yuan/MT
60230,Yuan/MT
62690,Yuan/MT
63240,Yuan/MT
69900,Yuan/MT
68410,Yuan/MT
66140,Yuan/MT
67790,Yuan/MT
67020,Yuan/MT
64810,Yuan/MT
65530,Yuan/MT
65580,Yuan/MT
66660,Yuan/MT
67150,Yuan/MT
66200,Yuan/MT
67050,Yuan/MT
66550,Yuan/MT
66740,Yuan/MT
66075,Yuan/MT
65770,Yuan/MT
65680,Yuan/MT
66190,Yuan/MT
65175,Yuan/MT
65490,Yuan/MT
66040,Yuan/MT
67140,Yuan/MT
66890,Yuan/MT
66500,Yuan/MT
66750,Yuan/MT
65720,Yuan/MT
66125,Yuan/MT
67260,Yuan/MT
68550,Yuan/MT
68990,Yuan/MT
68550,Yuan/MT
68840,Yuan/MT
69120,Yuan/MT
71940,Yuan/MT
70920,Yuan/MT
72335,Yuan/MT
71680,Yuan/MT
72690,Yuan/MT
74200,Yuan/MT
76150,Yuan/MT
75910,Yuan/MT
74760,Yuan/MT
75720,Yuan/MT
74840,Yuan/MT
72525,Yuan/MT
71950,Yuan/MT
72360,Yuan/MT
71720,Yuan/MT
71350,Yuan/MT
73380,Yuan/MT
73790,Yuan/MT
73580,Yuan/MT
72950,Yuan/MT
71090,Yuan/MT
71310,Yuan/MT
71710,Yuan/MT
71210,Yuan/MT
70800,Yuan/MT
69260,Yuan/MT
69170,Yuan/MT
67730,Yuan/MT
67400,Yuan/MT
68270,Yuan/MT
68600,Yuan/MT
68825,Yuan/MT
68050,Yuan/MT
68380,Yuan/MT
68490,Yuan/MT
68050,Yuan/MT
69700,Yuan/MT
68540,Yuan/MT
68900,Yuan/MT
68800,Yuan/MT
69370,Yuan/MT
68810,Yuan/MT
68830,Yuan/MT
69660,Yuan/MT
68390,Yuan/MT
68600,Yuan/MT
69040,Yuan/MT
70090,Yuan/MT
72520,Yuan/MT
72365,Yuan/MT
71700,Yuan/MT
71900,Yuan/MT
71030,Yuan/MT
70290,Yuan/MT
69660,Yuan/MT
69800,Yuan/MT
69560,Yuan/MT
70000,Yuan/MT
70430,Yuan/MT
70240,Yuan/MT
70080,Yuan/MT
69240,Yuan/MT
67700,Yuan/MT
67260,Yuan/MT
68940,Yuan/MT
69600,Yuan/MT
69260,Yuan/MT
69185,Yuan/MT
70315,Yuan/MT
69940,Yuan/MT
