Date,"Avg(CNY/mt,VAT included)","Avg With Rate(USD/mt,VAT included)"
2024-01-02,84000.0,11761.41
2024-01-03,84000.0,11728.57
2024-01-04,84000.0,11712.21
2024-01-05,85000.0,11832.51
2024-01-08,85500.0,11923.02
2024-01-09,85500.0,11915.55
2024-01-10,86500.0,12029.59
2024-01-11,87500.0,12187.48
2024-01-12,87500.0,12186.63
2024-01-15,87500.0,12179.67
2024-01-16,88500.0,12292.35
2024-01-17,88500.0,12268.49
2024-01-18,88500.0,12266.79
2024-01-19,89500.0,12407.12
2024-01-22,90500.0,12549.23
2024-01-23,90500.0,12586.75
2024-01-24,90500.0,12583.25
2024-01-25,90500.0,12607.09
2024-01-26,90500.0,12575.38
2024-01-29,90500.0,12571.02
2024-01-30,90500.0,12579.75
2024-01-31,92000.0,12781.15
2024-02-01,92000.0,12784.7
2024-02-02,92000.0,12781.15
2024-02-05,92000.0,12752.8
2024-02-06,92000.0,12752.8
2024-02-07,92000.0,12766.08
2024-02-08,92000.0,12748.39
2024-02-19,92500.0,12824.78
2024-02-20,92500.0,12820.34
2024-02-21,92500.0,12852.4
2024-02-22,92500.0,12825.67
2024-02-23,92500.0,12822.11
2024-02-26,92500.0,12819.45
2024-02-27,92500.0,12820.51
2024-02-28,92500.0,12818.56
2024-02-29,92500.0,12823.0
2024-03-01,92500.0,12820.51
2024-03-04,92500.0,12820.34
2024-03-05,92500.0,12820.16
2024-03-06,92500.0,12818.56
2024-03-07,92500.0,12819.45
2024-03-08,92500.0,12829.23
2024-03-11,92500.0,12833.68
2024-03-12,92500.0,12858.65
2024-03-13,92500.0,12839.91
2024-03-14,92000.0,12760.76
2024-03-15,92000.0,12751.92
2024-03-18,92000.0,12753.86
2024-03-19,92000.0,12751.21
2024-03-20,92000.0,12749.09
2024-03-21,92000.0,12749.27
2024-03-22,92000.0,12700.69
2024-03-25,92000.0,12739.56
2024-03-26,92000.0,12714.73
2024-03-27,92000.0,12699.82
2024-03-28,92000.0,12699.82
2024-03-29,92000.0,12698.24
2024-04-01,92000.0,12700.69
2024-04-02,92000.0,12681.43
2024-04-03,92000.0,12681.43
2024-04-08,92000.0,12691.06
2024-04-09,92000.0,12687.56
2024-04-10,92000.0,12694.03
