date,unit,nominal
2023-01-10,1,70.3002
2023-01-11,1,69.6094
2023-01-12,1,69.0202
2023-01-13,1,67.7775
2023-01-14,1,67.5744
2023-01-17,1,68.2892
2023-01-18,1,68.6644
2023-01-19,1,68.8728
2023-01-20,1,68.8467
2023-01-21,1,68.6656
2023-01-24,1,68.6288
2023-01-25,1,68.7529
2023-01-26,1,68.9573
2023-01-27,1,69.1263
2023-01-28,1,69.3372
2023-01-31,1,69.5927
2023-02-01,1,70.5174
2023-02-02,1,70.1217
2023-02-03,1,70.0414
2023-02-04,1,70.3847
2023-02-07,1,70.5991
2023-02-08,1,70.8924
2023-02-09,1,71.5763
2023-02-10,1,72.8949
2023-02-11,1,72.7923
2023-02-14,1,73.6307
2023-02-15,1,73.8645
2023-02-16,1,74.2077
2023-02-17,1,74.7638
2023-02-18,1,74.7588
2023-02-21,1,74.0432
2023-02-22,1,74.8596
2023-02-23,1,74.7087
2023-02-28,1,75.4323
2023-03-01,1,74.8932
2023-03-02,1,75.2513
2023-03-03,1,75.4729
2023-03-04,1,75.4592
2023-03-07,1,75.4728
2023-03-08,1,75.4577
2023-03-10,1,75.9028
2023-03-11,1,75.9406
2023-03-14,1,75.4609
2023-03-15,1,75.1927
2023-03-16,1,75.7457
2023-03-17,1,76.4095
2023-03-18,1,76.6044
2023-03-21,1,77.2422
2023-03-22,1,76.8373
2023-03-23,1,76.9561
2023-03-24,1,76.3072
2023-03-25,1,76.4479
2023-03-28,1,76.5662
2023-03-29,1,76.5939
2023-03-30,1,76.9781
2023-03-31,1,77.0863
2023-04-01,1,77.3233
2023-04-04,1,77.951
2023-04-05,1,79.3563
2023-04-06,1,79.4961
2023-04-07,1,80.6713
2023-04-08,1,82.3988
2023-04-11,1,81.7441
2023-04-12,1,82.1799
2023-04-13,1,82.0934
2023-04-14,1,81.6758
2023-04-15,1,81.5045
2023-04-18,1,81.6279
2023-04-19,1,81.6028
2023-04-20,1,81.6549
2023-04-21,1,81.6188
2023-04-22,1,81.4863
2023-04-25,1,81.2745
2023-04-26,1,81.5499
2023-04-27,1,81.6274
2023-04-28,1,81.5601
2023-04-29,1,80.5093
2023-05-03,1,79.9609
2023-05-04,1,79.3071
2023-05-05,1,78.6139
2023-05-06,1,76.8207
2023-05-11,1,76.6929
2023-05-12,1,75.8846
2023-05-13,1,77.2041
2023-05-16,1,79.1004
2023-05-17,1,79.9798
2023-05-18,1,80.7642
2023-05-19,1,80.0366
2023-05-20,1,79.9093
2023-05-23,1,79.9379
2023-05-24,1,80.1665
