Date,Gold,Silver,Platinum,Palladium
1968-01-02,0.0,2.173,0.0,0.0
1968-01-03,0.0,2.225,0.0,0.0
1968-01-04,0.0,2.171,0.0,0.0
1968-01-05,0.0,2.157,0.0,0.0
1968-01-08,0.0,2.163,0.0,0.0
1968-01-09,0.0,2.109,0.0,0.0
1968-01-10,0.0,2.085,0.0,0.0
1968-01-11,0.0,2.094,0.0,0.0
1968-01-12,0.0,2.127,0.0,0.0
1968-01-15,0.0,2.114,0.0,0.0
1968-01-16,0.0,2.069,0.0,0.0
1968-01-17,0.0,2.067,0.0,0.0
1968-01-18,0.0,2.058,0.0,0.0
1968-01-19,0.0,2.078,0.0,0.0
1968-01-22,0.0,2.088,0.0,0.0
1968-01-23,0.0,2.08,0.0,0.0
1968-01-24,0.0,2.064,0.0,0.0
1968-01-25,0.0,2.018,0.0,0.0
1968-01-26,0.0,2.069,0.0,0.0
1968-01-29,0.0,2.039,0.0,0.0
1968-01-30,0.0,2.019,0.0,0.0
1968-01-31,0.0,1.96,0.0,0.0
1968-02-01,0.0,1.995,0.0,0.0
1968-02-02,0.0,2.02,0.0,0.0
1968-02-05,0.0,2.0,0.0,0.0
1968-02-06,0.0,1.948,0.0,0.0
1968-02-07,0.0,1.965,0.0,0.0
1968-02-08,0.0,1.979,0.0,0.0
1968-02-09,0.0,1.938,0.0,0.0
1968-02-12,0.0,1.929,0.0,0.0
1968-02-13,0.0,1.923,0.0,0.0
1968-02-14,0.0,1.919,0.0,0.0
1968-02-15,0.0,1.939,0.0,0.0
1968-02-16,0.0,1.999,0.0,0.0
1968-02-19,0.0,1.969,0.0,0.0
1968-02-20,0.0,1.98,0.0,0.0
1968-02-21,0.0,2.03,0.0,0.0
1968-02-22,0.0,2.029,0.0,0.0
1968-02-23,0.0,2.017,0.0,0.0
1968-02-26,0.0,2.065,0.0,0.0
1968-02-27,0.0,2.105,0.0,0.0
1968-02-28,0.0,2.105,0.0,0.0
1968-02-29,0.0,2.084,0.0,0.0
1968-03-01,0.0,2.2,0.0,0.0
1968-03-04,0.0,2.19,0.0,0.0
1968-03-05,0.0,2.188,0.0,0.0
1968-03-06,0.0,2.134,0.0,0.0
1968-03-07,0.0,2.189,0.0,0.0
1968-03-08,0.0,2.228,0.0,0.0
1968-03-11,0.0,2.197,0.0,0.0
1968-03-12,0.0,2.222,0.0,0.0
1968-03-13,0.0,2.37,0.0,0.0
1968-03-14,0.0,2.49,0.0,0.0
1968-03-18,0.0,2.119,0.0,0.0
1968-03-19,0.0,2.404,0.0,0.0
1968-03-20,0.0,2.237,0.0,0.0
1968-03-21,0.0,2.303,0.0,0.0
1968-03-22,0.0,2.218,0.0,0.0
1968-03-25,0.0,2.241,0.0,0.0
1968-03-26,0.0,2.243,0.0,0.0
1968-03-27,0.0,2.302,0.0,0.0
1968-03-28,0.0,2.249,0.0,0.0
1968-03-29,0.0,2.278,0.0,0.0
1968-04-01,37.7,2.259,0.0,0.0
1968-04-02,37.3,2.202,0.0,0.0
1968-04-03,37.6,2.195,0.0,0.0
1968-04-04,36.95,2.125,0.0,0.0
1968-04-05,37.0,2.104,0.0,0.0
1968-04-08,37.05,2.134,0.0,0.0
1968-04-09,37.5,2.205,0.0,0.0
1968-04-10,37.7,2.203,0.0,0.0
1968-04-11,38.0,2.161,0.0,0.0
1968-04-16,38.0,2.253,0.0,0.0
1968-04-17,37.8,2.303,0.0,0.0
1968-04-18,37.55,2.232,0.0,0.0
1968-04-19,37.65,2.281,0.0,0.0
1968-04-22,38.0,2.36,0.0,0.0
1968-04-23,38.4,2.36,0.0,0.0
1968-04-24,38.25,2.299,0.0,0.0
1968-04-25,38.3,2.308,0.0,0.0
1968-04-26,38.65,2.327,0.0,0.0
1968-04-29,38.75,2.396,0.0,0.0
1968-04-30,39.1,2.397,0.0,0.0
1968-05-01,39.2,2.357,0.0,0.0
1968-05-02,39.45,2.297,0.0,0.0
1968-05-03,39.1,2.315,0.0,0.0
1968-05-06,39.75,2.335,0.0,0.0
1968-05-07,39.3,2.245,0.0,0.0
1968-05-08,39.75,2.321,0.0,0.0
