date,Числовое значение,ДОЛЛАР США
2022-01-01,1,431.8
2022-01-02,1,431.8
2022-01-03,1,431.8
2022-01-04,1,431.8
2022-01-05,1,431.8
2022-01-06,1,431.81
2022-01-07,1,431.81
2022-01-08,1,431.81
2022-01-09,1,431.81
2022-01-10,1,431.81
2022-01-11,1,431.81
2022-01-12,1,431.81
2022-01-13,1,433.78
2022-01-14,1,433.69
2022-01-15,1,434.84
2022-01-16,1,434.84
2022-01-17,1,434.84
2022-01-18,1,434.58
2022-01-19,1,434.07
2022-01-20,1,434.48
2022-01-21,1,434.24
2022-01-22,1,435.1
2022-01-23,1,435.1
2022-01-24,1,435.1
2022-01-25,1,434.34
2022-01-26,1,435.2
2022-01-27,1,434.34
2022-01-28,1,434.38
2022-01-29,1,433.83
2022-01-30,1,433.83
2022-01-31,1,433.83
2022-02-01,1,433.5
2022-02-02,1,433.76
2022-02-03,1,434.11
2022-02-04,1,434.29
2022-02-05,1,432.93
2022-02-06,1,432.93
2022-02-07,1,432.93
2022-02-08,1,431.37
2022-02-09,1,428.5
2022-02-10,1,426.31
2022-02-11,1,425.76
2022-02-12,1,429.1
2022-02-13,1,429.1
2022-02-14,1,429.1
2022-02-15,1,431.38
2022-02-16,1,430.84
2022-02-17,1,427.84
2022-02-18,1,428.52
2022-02-19,1,428.32
2022-02-20,1,428.32
2022-02-21,1,428.32
2022-02-22,1,428.54
2022-02-23,1,433.39
2022-02-24,1,437.22
2022-02-25,1,465.99
2022-02-26,1,467.09
2022-02-27,1,467.09
2022-02-28,1,467.09
2022-03-01,1,495.0
2022-03-02,1,487.75
2022-03-03,1,490.43
2022-03-04,1,492.28
2022-03-05,1,499.2
2022-03-06,1,503.3
2022-03-07,1,503.3
2022-03-08,1,503.3
2022-03-09,1,503.3
2022-03-10,1,510.0
2022-03-11,1,509.8
2022-03-12,1,510.79
2022-03-13,1,510.79
2022-03-14,1,510.79
2022-03-15,1,511.71
2022-03-16,1,512.19
2022-03-17,1,508.94
2022-03-18,1,506.14
2022-03-19,1,505.22
2022-03-20,1,505.22
2022-03-21,1,505.22
2022-03-22,1,505.22
2022-03-23,1,505.22
2022-03-24,1,505.22
2022-03-25,1,495.43
2022-03-26,1,494.16
2022-03-27,1,494.16
2022-03-28,1,494.16
2022-03-29,1,484.49
2022-03-30,1,471.3
2022-03-31,1,458.2
2022-04-01,1,466.31
2022-04-02,1,472.56
2022-04-03,1,472.56
2022-04-04,1,472.56
2022-04-05,1,472.76
2022-04-06,1,462.91
2022-04-07,1,462.22
2022-04-08,1,458.87
2022-04-09,1,446.89
2022-04-10,1,446.89
2022-04-11,1,446.89
2022-04-12,1,449.53
2022-04-13,1,449.74
2022-04-14,1,450.17
2022-04-15,1,448.19
2022-04-16,1,454.27
2022-04-17,1,454.27
2022-04-18,1,454.27
2022-04-19,1,449.85
2022-04-20,1,443.57
2022-04-21,1,444.03
2022-04-22,1,444.04
2022-04-23,1,443.99
2022-04-24,1,443.99
2022-04-25,1,443.99
2022-04-26,1,448.26
2022-04-27,1,453.53
2022-04-28,1,449.55
2022-04-29,1,448.49
2022-04-30,1,446.38
2022-05-01,1,446.38
2022-05-02,1,446.38
2022-05-03,1,446.38
2022-05-04,1,441.64
2022-05-05,1,436.85
2022-05-06,1,427.8
2022-05-07,1,434.47
2022-05-08,1,434.47
2022-05-09,1,434.47
2022-05-10,1,434.47
2022-05-11,1,434.47
2022-05-12,1,442.61
2022-05-13,1,434.76
2022-05-14,1,427.84
2022-05-15,1,427.84
2022-05-16,1,427.84
2022-05-17,1,429.57
2022-05-18,1,432.79
2022-05-19,1,432.69
2022-05-20,1,431.41
2022-05-21,1,425.02
2022-05-22,1,425.02
2022-05-23,1,425.02
2022-05-24,1,424.84
2022-05-25,1,416.91
2022-05-26,1,415.12
2022-05-27,1,422.01
2022-05-28,1,433.3
2022-05-29,1,433.3
2022-05-30,1,433.3
