date,price,unit
2025-12-10,92220,Yuan/MT
2025-12-09,92400,Yuan/MT
2025-12-06,91650,Yuan/MT
2025-12-05,91250,Yuan/MT
2025-12-04,88990,Yuan/MT
2025-12-03,88650,Yuan/MT
2025-12-02,89280,Yuan/MT
2025-11-29,87440,Yuan/MT
2025-11-28,87060,Yuan/MT
2025-11-27,86690,Yuan/MT
2025-11-26,86620,Yuan/MT
2025-11-25,86240,Yuan/MT
2025-11-22,85800,Yuan/MT
2025-11-21,86425,Yuan/MT
2025-11-14,87210,Yuan/MT
2025-11-13,86770,Yuan/MT
2025-11-11,86530,Yuan/MT
2025-11-08,85925,Yuan/MT
2025-11-07,86030,Yuan/MT
2025-11-06,85470,Yuan/MT
2025-11-05,86580,Yuan/MT
2025-11-04,86580,Yuan/MT
2025-11-01,87540,Yuan/MT
2025-10-31,88050,Yuan/MT
2025-10-30,87770,Yuan/MT
2025-10-29,87770,Yuan/MT
2025-10-28,88210,Yuan/MT
2025-10-25,86475,Yuan/MT
2025-10-24,85500,Yuan/MT
2025-10-23,84980,Yuan/MT
2025-10-22,85720,Yuan/MT
2025-10-21,85650,Yuan/MT
2025-10-18,84775,Yuan/MT
2025-10-17,85180,Yuan/MT
2025-10-16,85250,Yuan/MT
2025-10-15,85925,Yuan/MT
2025-10-14,85010,Yuan/MT
2025-10-11,86550,Yuan/MT
2025-10-10,85900,Yuan/MT
2025-10-09,83240,Yuan/MT
2025-10-08,83240,Yuan/MT
2025-10-07,83240,Yuan/MT
2025-10-04,83240,Yuan/MT
2025-10-03,83240,Yuan/MT
2025-10-02,83240,Yuan/MT
2025-10-01,83240,Yuan/MT
2025-09-30,82220,Yuan/MT
2025-09-27,82480,Yuan/MT
2025-09-26,82525,Yuan/MT
2025-09-25,82525,Yuan/MT
2025-09-24,80000,Yuan/MT
2025-09-23,80210,Yuan/MT
2025-09-20,79980,Yuan/MT
2025-09-19,79990,Yuan/MT
2025-09-18,80600,Yuan/MT
2025-09-17,81080,Yuan/MT
2025-09-16,80930,Yuan/MT
2025-09-13,80740,Yuan/MT
2025-09-12,80175,Yuan/MT
2025-09-11,79760,Yuan/MT
2025-09-10,79870,Yuan/MT
2025-09-09,79840,Yuan/MT
2025-09-06,80090,Yuan/MT
2025-09-05,80080,Yuan/MT
2025-09-04,80500,Yuan/MT
2025-09-03,80140,Yuan/MT
2025-09-02,79890,Yuan/MT
2025-09-01,79400,Yuan/MT
2025-08-30,79400,Yuan/MT
2025-08-29,79160,Yuan/MT
2025-08-28,79520,Yuan/MT
2025-08-27,79550,Yuan/MT
2025-08-26,79440,Yuan/MT
2025-08-24,78825,Yuan/MT
2025-08-23,78825,Yuan/MT
2025-08-22,78780,Yuan/MT
2025-08-21,78740,Yuan/MT
2025-08-20,79100,Yuan/MT
2025-08-19,79280,Yuan/MT
2025-08-17,79130,Yuan/MT
2025-08-16,79130,Yuan/MT
2025-08-15,79130,Yuan/MT
2025-08-14,79415,Yuan/MT
2025-08-13,79510,Yuan/MT
2025-08-12,79160,Yuan/MT
2025-08-11,79140,Yuan/MT
2025-08-10,78540,Yuan/MT
2025-08-09,78540,Yuan/MT
2025-08-08,78540,Yuan/MT
2025-08-07,78480,Yuan/MT
2025-08-06,78325,Yuan/MT
2025-08-05,78625,Yuan/MT
2025-08-03,78370,Yuan/MT
2025-08-02,78370,Yuan/MT
2025-08-01,78500,Yuan/MT
2025-07-31,79280,Yuan/MT
2025-07-30,79030,Yuan/MT
2025-07-29,79080,Yuan/MT
2025-07-26,79400,Yuan/MT
2025-07-25,79790,Yuan/MT
2025-07-24,79750,Yuan/MT
2025-07-23,79760,Yuan/MT
2025-07-22,79600,Yuan/MT
2025-07-19,78625,Yuan/MT
2025-07-18,78010,Yuan/MT
2025-07-17,78060,Yuan/MT
2025-07-16,78025,Yuan/MT
2025-07-15,78460,Yuan/MT
2025-07-12,78670,Yuan/MT
2025-07-11,78630,Yuan/MT
2025-07-10,79040,Yuan/MT
2025-07-09,79800,Yuan/MT
2025-07-08,79860,Yuan/MT
2025-07-05,80510,Yuan/MT
2025-07-04,80960,Yuan/MT
2025-07-03,80990,Yuan/MT
2025-07-02,80190,Yuan/MT
2025-07-01,79990,Yuan/MT
2025-06-28,80110,Yuan/MT
2025-06-27,78930,Yuan/MT
2025-06-26,78570,Yuan/MT
2025-06-25,78410,Yuan/MT
2025-06-24,78310,Yuan/MT
2025-06-21,78370,Yuan/MT
2025-06-20,78660,Yuan/MT
2025-06-19,78830,Yuan/MT
2025-06-14,78770,Yuan/MT
2025-06-13,78770,Yuan/MT
2025-06-12,79320,Yuan/MT
2025-06-11,79260,Yuan/MT
2025-06-10,78840,Yuan/MT
2025-06-07,78870,Yuan/MT
2025-06-06,78380,Yuan/MT
2025-06-05,78520,Yuan/MT
2025-06-04,78380,Yuan/MT
2025-06-03,78240,Yuan/MT
2025-05-31,78240,Yuan/MT
2025-05-30,78460,Yuan/MT
2025-05-29,78450,Yuan/MT
2025-05-28,78440,Yuan/MT
2025-05-27,78525,Yuan/MT
2025-05-24,78030,Yuan/MT
2025-05-23,78070,Yuan/MT
2025-05-22,78440,Yuan/MT
2025-05-21,78340,Yuan/MT
2025-05-20,78070,Yuan/MT
2025-05-17,78825,Yuan/MT
2025-05-16,78675,Yuan/MT
2025-05-15,78875,Yuan/MT
2025-05-14,78160,Yuan/MT
2025-05-13,78260,Yuan/MT
2025-05-12,78190,Yuan/MT
2025-05-10,78190,Yuan/MT
2025-05-08,78450,Yuan/MT
2025-05-07,78210,Yuan/MT
2025-05-06,78210,Yuan/MT
2025-05-05,77930,Yuan/MT
2025-05-03,77930,Yuan/MT
2025-05-02,77930,Yuan/MT
2025-05-01,77930,Yuan/MT
2025-04-30,78015,Yuan/MT
